standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,status,mandatory_status,summary,official_url,date_verified,verification_status,notes
BCHYDRO-ES43-R2-01,ES43 R2-01,Ground Rods at Wood Poles and Multiple Ground Rods,BC Hydro,standard,Canada - British Columbia,BC Hydro overhead distribution standards,current,Active,Applies to grounding electrode installations for overhead distribution facilities,BC Hydro ES43 R2-01 bonding and grounding electrode installation standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES43-R2-01-Bonding-Grounding-Electrode-Installations.html,2026-08-23,verified,BC Hydro released an information bulletin for revised ES43 R2-01 in 2025.
BCHYDRO-ES53,ES53,Underground Electrical Distribution Standards,BC Hydro,standard_family,Canada - British Columbia,BC Hydro underground electrical standards,current,Active,Applies to underground electrical distribution service design and construction,BC Hydro ES53 family for underground electrical distribution standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es53,2026-08-23,verified,Child records can later split S0 through S4 details.
BCHYDRO-ES53-S,ES53 S,Underground Electrical Services,BC Hydro,standard_family,Canada - British Columbia,BC Hydro underground electrical standards,current,Active,Applies to underground electrical services including single phase three phase primary and street lighting services,BC Hydro ES53 Section S family for underground electrical services,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es53s,2026-08-23,verified,Includes ES53 S0 S1 S2 S3 and S4 records.
BCHYDRO-ES54,ES54,Underground Civil Distribution Standards,BC Hydro,standard_family,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground civil construction for BC Hydro distribution facilities,BC Hydro ES54 family for underground civil distribution standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es54,2026-08-23,verified,Child records identify major public ES54 sections.
BCHYDRO-ES54-A,ES54 A,Introduction,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies as introductory material for ES54 underground civil standards,BC Hydro ES54 Section A introduction,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-a.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-B,ES54 B,Pull and Splice Service and Junction Boxes,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground pull boxes splice boxes service boxes and junction boxes,BC Hydro ES54 Section B underground civil standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-b.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-C,ES54 C,Vaults,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground distribution vaults,BC Hydro ES54 Section C underground civil vault standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-c.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-D,ES54 D,Junction Pads,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground distribution junction pads,BC Hydro ES54 Section D underground civil junction pad standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-d.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-E,ES54 E,Switchgear Vaults and Pads,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground switchgear vaults and pads,BC Hydro ES54 Section E underground civil switchgear vault and pad standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-e.html,2026-08-23,verified,BC Hydro page also lists related 2024 and 2025 information bulletins.
BCHYDRO-ES54-F,ES54 F,Transformer Pads and Vaults,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground distribution transformer pads and vaults,BC Hydro ES54 Section F underground civil transformer pad and vault standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-f.html,2026-08-23,verified,BC Hydro page also lists related 2025 information bulletins.
BCHYDRO-ES54-G,ES54 G,Drainage Assemblies,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground distribution drainage assemblies,BC Hydro ES54 Section G underground civil drainage assembly standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-g.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-H,ES54 H,Duct,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground distribution ducts and duct banks,BC Hydro ES54 Section H underground civil duct standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-h.html,2026-08-23,verified,BC Hydro page also lists related 2022 information bulletin material.
BCHYDRO-ES54-J,ES54 J,Joint Trenching,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to joint trenching for underground distribution construction,BC Hydro ES54 Section J underground civil joint trenching standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-j.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-M,ES54 M,Pilasters and Terminal Poles,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to pilasters and terminal pole civil arrangements,BC Hydro ES54 Section M underground civil pilaster and terminal pole standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-m.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-P,ES54 P,Public Safety,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to public safety provisions for underground civil distribution installations,BC Hydro ES54 Section P underground civil public safety standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-p.html,2026-08-23,verified,BC Hydro page lists recent public safety information bulletin material.
BCHYDRO-ES54-R,ES54 R,Grounding,BC Hydro,standard,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to grounding for underground civil distribution installations,BC Hydro ES54 Section R underground civil grounding standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/disclaimer-es54-section-r.html,2026-08-23,verified,Public page may require acknowledgement before viewing the standard.
BCHYDRO-ES54-S,ES54 S,Services,BC Hydro,standard_family,Canada - British Columbia,BC Hydro underground civil standards,current,Active,Applies to underground civil service duct trench and equipment arrangements,BC Hydro ES54 Section S family for underground civil services,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es54uges,2026-08-23,verified,Includes S0 S1 S2 S3 S4 and S6 records for services and equipment on private property.
BCHYDRO-ES55,ES55,Power Quality and Customer Equipment Standards,BC Hydro,standard_family,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to power quality customer equipment and distribution compatibility requirements,BC Hydro ES55 family for power quality and customer equipment compatibility standards,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards.html#es55,2026-08-23,verified,Child records identify public ES55 equipment and power quality topics.
BCHYDRO-ES55-B2-05,ES55 B2-05,Customer Guide for BC Hydro-Owned Switchgear Placement and Requirements,BC Hydro,standard,Canada - British Columbia,BC Hydro customer equipment standards,current,Active,Applies to placement and requirements for BC Hydro owned switchgear on customer sites,BC Hydro ES55 B2-05 customer guide for switchgear placement and requirements,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-ES55-b2-05-customer-guide.html,2026-08-23,verified,BC Hydro page lists a 2025 information bulletin for revised ES55 B2-05.
BCHYDRO-ES55-Q1-02,ES55 Q1-02,Electromagnetic Compatibility,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to electromagnetic compatibility at customer and distribution interfaces,BC Hydro ES55 Q1-02 electromagnetic compatibility standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q1-02-Electromagnetic-Compatibility.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q1-04,ES55 Q1-04,Apparent Power,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to customer apparent power assessment,BC Hydro ES55 Q1-04 customer apparent power assessment standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q1-04-Customer-Apparent-Power-Assessment.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-01,ES55 Q2-01,Voltage Interruptions,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage interruption planning and assessment,BC Hydro ES55 Q2-01 voltage interruptions standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-01-voltage-interruptions.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-02,ES55 Q2-02,Voltage Frequency,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage frequency planning and assessment,BC Hydro ES55 Q2-02 voltage frequency standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-02-voltage-frequency.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-03,ES55 Q2-03,Steady-State Voltage Variation,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to steady state voltage variation planning and assessment,BC Hydro ES55 Q2-03 steady state voltage variation standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-03-steady-state-voltage-variation.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-04,ES55 Q2-04,Rapid Voltage Changes,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to rapid voltage changes planning and assessment,BC Hydro ES55 Q2-04 rapid voltage changes standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-04-rapid-voltage-changes.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-05,ES55 Q2-05,Voltage Flicker,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage flicker planning and assessment,BC Hydro ES55 Q2-05 voltage flicker standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-05-voltage-flicker.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-07,ES55 Q2-07,Voltage Unbalance,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage unbalance planning and assessment,BC Hydro ES55 Q2-07 voltage unbalance standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-07-voltage-unbalance.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-08,ES55 Q2-08,Voltage Sags and Swells,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage sags and swells planning and assessment,BC Hydro ES55 Q2-08 voltage sags and swells standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-08-voltage-sags-swells.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-09,ES55 Q2-09,Voltage Harmonics,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage harmonic planning and assessment,BC Hydro ES55 Q2-09 voltage harmonics standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-09-voltage-harmonics.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-10,ES55 Q2-10,Voltage Interharmonics,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to voltage interharmonic planning and assessment,BC Hydro ES55 Q2-10 voltage interharmonics standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-10-voltage-interharmonics.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-12,ES55 Q2-12,Neutral-to-Earth Voltage,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to neutral to earth voltage planning and assessment,BC Hydro ES55 Q2-12 neutral to earth voltage standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/legal-es55-q2-12-neutral-to-earth-voltage.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q2-SUMMARY,ES55 Q2 Summary,Summary Table,BC Hydro,summary,Canada - British Columbia,BC Hydro power quality standards,current,Active,Summarizes ES55 Q2 planning limits,BC Hydro ES55 Q2 summary table for planning limits,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/ds-es55-q2-summary-planning-limits.pdf,2026-08-23,verified,Treat as a summary support record for ES55 Q2 standards.
BCHYDRO-ES55-Q3-04,ES55 Q3-04,Rapid Voltage Changes,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to customer emission limits for rapid voltage changes,BC Hydro ES55 Q3-04 rapid voltage changes standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q3-04-Rapid-Voltage-Changes.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q3-05,ES55 Q3-05,Voltage Flicker,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to customer emission limits for voltage flicker,BC Hydro ES55 Q3-05 voltage flicker standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q3-05-Voltage-Flicker.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q3-07,ES55 Q3-07,Voltage Unbalance,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to customer emission limits for voltage unbalance,BC Hydro ES55 Q3-07 voltage unbalance standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q3-07-Voltage-Unbalance.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q4-04,ES55 Q4-04,Rapid Voltage Changes,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to immunity or compatibility assessment for rapid voltage changes,BC Hydro ES55 Q4-04 rapid voltage changes standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q4-04-Rapid-Voltage-Changes.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q4-05,ES55 Q4-05,Voltage Flicker,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to immunity or compatibility assessment for voltage flicker,BC Hydro ES55 Q4-05 voltage flicker standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q4-05-Voltage-Flicker.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q4-07,ES55 Q4-07,Voltage Unbalance,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to immunity or compatibility assessment for voltage unbalance,BC Hydro ES55 Q4-07 voltage unbalance standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q4-07-Voltage-Unbalance.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-ES55-Q4-09,ES55 Q4-09,Current Harmonics,BC Hydro,standard,Canada - British Columbia,BC Hydro power quality standards,current,Active,Applies to customer current harmonics at the distribution interface,BC Hydro ES55 Q4-09 current harmonics standard,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-ES55-Q4-09-Current-Harmonics.html,2026-08-23,verified,Linked through BC Hydro distribution standards page.
BCHYDRO-DGI-REQ,DGI Requirements,Distribution Generator Interconnection Requirements,BC Hydro,standard,Canada - British Columbia,BC Hydro distribution generator interconnection,current,Active,Applies to generators interconnecting with the BC Hydro distribution system,BC Hydro technical requirements for distribution generator interconnections,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/ds-dgi-requirements.pdf,2026-08-23,verified,Linked from BC Hydro distribution generator interconnection page.
BCHYDRO-DGI-100KW,DGI 100 kW and Below,100 kW and Below Distribution Generation Interconnection Requirements,BC Hydro,standard,Canada - British Columbia,BC Hydro distribution generator interconnection,current,Active,Applies to smaller distribution generation projects at or below 100 kW,BC Hydro requirements for 100 kW and below distribution generation interconnections,https://app.bchydro.com/accounts-billing/electrical-connections/distribution-standards/LA-DGI-100kW-and-below-Requirements.html,2026-08-23,verified,Linked from BC Hydro distribution standards page.
BCHYDRO-DGI-AMENDMENT-1,DGI Amendment 1,Distribution Generator Interconnection Requirements Amendment 1,BC Hydro,amendment,Canada - British Columbia,BC Hydro distribution generator interconnection,2015-10-15,Active,Amends distribution generator interconnection requirements where applicable,BC Hydro Amendment 1 record for distribution generator interconnection requirements,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/ds-dgi-requirements-ammendment-1-20151015.pdf,2026-08-23,verified,Direct PDF linked from official BC Hydro Distribution Generator Interconnections source page.
BCHYDRO-DGI-ISLANDING,DGI Islanding Guidelines,Distribution Power Generator Islanding Guidelines,BC Hydro,guidance,Canada - British Columbia,BC Hydro distribution generator interconnection,current,Active,Guidance for distribution generator islanding considerations,BC Hydro distribution power generator islanding guidelines,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/standards/ds-dgi-distribution-power-generator-islanding-guidelines.pdf,2026-08-23,verified,Direct PDF linked from official BC Hydro Distribution Generator Interconnections source page.
BCHYDRO-CTT-TIR,CTT Requirements,Closed Transition Transfer Interconnection Requirements,BC Hydro,standard,Canada - British Columbia,BC Hydro closed transition transfer interconnection,2024-03-20,Active,Applies to closed transition transfer generator projects connecting to BC Hydro facilities,BC Hydro closed transition transfer technical interconnection requirements,https://app.bchydro.com/content/dam/BCHydro/customer-portal/documents/distribution/dgi/ctt-technical-interconnection-rqmts-2024mar20.pdf,2026-08-23,verified,Linked from BC Hydro distribution generator interconnection page.
